"SID"	"window"	"n"	"N"	"gene"	"k"	"pValue"	"qValue"
"19:52100310-52100440"	131	4	131	"AC018755.1"	4	0.0004653	0.2459
"19:52297643-52297744"	102	3	102	"FPR3"	3	0.002583	0.7156
"19:52643270-52643373"	104	5	104	"ZNF616"	5	5.17e-06	0.004891
"19:52771708-52771764"	57	3	57	"ZNF766"	2	0.001522	0.529
"19:52900359-52900443"	85	5	85	"ZNF528"	5	1.193e-07	0.0001242
"19:53606870-53606935"	66	3	66	"ZNF160"	2	0.01382	1
"19:54382680-54382817"	138	3	138	"PRKCG"	3	0.002807	0.7487
"19:54385070-54385237"	168	5	168	"PRKCG"	5	0.000259	0.1601
"19:54824783-54824837"	55	6	55	"LILRA5"	6	1.329e-10	1.488e-07
"19:54925048-54925102"	55	3	55	"TTYH1"	3	9.724e-05	0.07079
"19:55278308-55278373"	66	3	66	"KIR2DL1"	3	0.0005847	0.2859
"19:55849871-55849944"	74	3	74	"SUV420H2"	3	0.0001852	0.123
"19:55882272-55882322"	51	7	51	"IL11"	7	1.014e-11	1.158e-08
"19:55955198-55955256"	59	3	59	"SHISA7"	2	0.004741	0.9055
"19:56268111-56268173"	63	5	63	"RFPL4A"	3	9.395e-05	0.06858
"19:56632855-56632941"	87	4	87	"ZNF787"	4	1.177e-05	0.01079
"19:56741965-56742031"	67	6	67	"ZSCAN5A"	6	3.714e-11	4.193e-08
"19:57874561-57874641"	81	3	81	"ZNF547"	2	0.003538	0.8298
"19:58095118-58095234"	117	3	117	"ZIK1"	3	0.00375	0.8393
"19:58448284-58448335"	52	3	52	"ZNF418"	3	0.0001118	0.07994
"19:58568615-58568665"	51	3	51	"ZNF135"	3	5.912e-05	0.04588
"19:58631572-58631642"	71	3	71	"ZSCAN18"	2	0.01464	1
"20:305884-306002"	119	3	119	"SOX12"	3	0.004921	0.9116
"20:813640-813692"	53	3	53	"FAM110A"	2	0.0008937	0.3775
"20:898973-899115"	143	5	143	"ANGPT4"	4	0.001668	0.5544
"20:1373935-1374021"	87	3	87	"FKBP1A"	2	0.01162	1
"20:1602111-1602235"	125	3	125	"SIRPB1"	3	0.0005501	0.2741
"20:1639740-1639798"	59	3	59	"SIRPG"	3	0.000335	0.1946
"20:2631541-2631594"	54	5	54	"NOP56"	5	4.812e-09	5.24e-06
"20:2670620-2670687"	68	3	68	"EBF4"	2	0.05322	1
"20:4700188-4700275"	88	3	88	"PRND"	3	0.004795	0.9063
"20:5295799-5295890"	92	3	92	"PROKR2"	3	0.0007411	0.3315
"20:6104865-6104924"	60	4	60	"FERMT1"	3	0.0001419	0.09785
"20:13619667-13619730"	64	4	64	"TASP1"	4	3.337e-06	0.003214
"20:17549422-17549474"	53	8	53	"DSTN"	4	2.466e-05	0.02133
"20:17664422-17664472"	51	5	51	"RRBP1"	5	1.567e-08	1.685e-05
"20:21283661-21283741"	81	3	81	"XRN2"	2	0.002777	0.747
"20:23342174-23342264"	91	3	91	"GZF1"	2	0.09024	1
"20:23809081-23809186"	106	3	106	"CST2"	3	0.001411	0.5075
"20:23970841-23970911"	71	3	71	"GGTLC1"	3	0.0002624	0.1619
"20:29955884-29955976"	93	3	93	"DEFB118"	3	0.001777	0.574
"20:30223052-30223159"	108	3	108	"COX4I2"	3	0.0008641	0.3707
"20:31616777-31616859"	83	3	83	"BPIFB6"	2	0.03072	1
"20:32581026-32581085"	60	3	60	"RALY"	3	8.754e-05	0.0646
"20:35377192-35377250"	59	3	59	"NDRG3"	3	6.064e-05	0.04675
"20:37230346-37230399"	54	8	54	"ARHGAP40"	4	6.334e-07	0.0006416
"20:37377028-37377097"	70	3	57	"ACTR5"	2	0.01958	1
"20:41819109-41819212"	104	3	104	"PTPRT"	2	0.002252	0.6666
"20:43028195-43028274"	80	3	80	"HNF4A"	3	0.00105	0.42
"20:43371844-43371929"	86	4	86	"KCNK15"	3	0.0001556	0.1064
"20:56103032-56103117"	86	3	86	"CTCFL"	3	0.0001311	0.09177
"20:60757873-60757977"	105	3	105	"MTG2"	2	0.09338	1
"20:60943263-60943346"	84	3	84	"LAMA5"	3	0.001965	0.6092
"20:62490802-62490928"	127	4	127	"ABHD16B"	4	0.0003704	0.2111
"21:10991202-10991438"	237	10	237	"TPTE"	9	2.617e-09	2.873e-06
"21:10993824-10993934"	111	6	97	"TPTE"	5	1.439e-06	0.001419
"21:11029696-11029746"	51	4	27	"TPTE"	4	2.489e-07	0.0002556
"21:11029830-11029926"	97	11	78	"TPTE"	8	7.159e-12	8.197e-09
"21:31935857-31935970"	114	3	114	"KRTAP19-7"	3	0.001411	0.5075
"21:31972999-31973096"	98	3	98	"KRTAP6-2"	2	0.002393	0.6898
"21:32120298-32120427"	130	3	130	"KRTAP21-2"	3	0.0006135	0.2914
"21:45771908-45771991"	84	3	84	"TRPM2"	2	0.001529	0.529
"21:46342551-46342625"	75	9	75	"ITGB2"	9	1.55e-16	1.815e-13
"22:16452057-16452176"	120	3	120	"OR11H1"	3	0.0004869	0.2538
"22:18509012-18509120"	109	4	109	"MICAL3"	3	0.01001	1
"22:18924803-18924886"	84	3	84	"PRODH"	3	3.796e-05	0.03131
"22:20309851-20309904"	54	5	54	"DGCR6L"	5	2.926e-08	3.11e-05
"22:22018577-22018627"	51	3	51	"PPIL2"	3	6.122e-05	0.04714
"22:22987598-22987648"	51	3	51	"GGTLC2"	3	4.369e-05	0.03548
"22:23975416-23975466"	51	4	51	"C22orf43"	4	1.429e-07	0.0001482
"22:24181932-24181982"	51	3	51	"DERL3"	3	6.363e-06	0.005962
"22:24666228-24666287"	60	3	60	"SPECC1L"	3	3.971e-06	0.003788
"22:25171126-25171213"	88	3	88	"PIWIL3"	2	0.03922	1
"22:29076118-29076211"	94	3	94	"TTC28"	2	0.01334	1
"22:35459190-35459269"	80	3	80	"ISX"	3	0.0008622	0.3707
"22:35775661-35775730"	70	5	70	"HMOX1"	5	3.848e-08	4.079e-05
"22:37217552-37217604"	53	5	53	"PVALB"	5	5.401e-10	6.001e-07
"22:37445641-37445696"	56	4	56	"KCTD17"	2	0.002854	0.7535
"22:38033884-38033960"	77	3	77	"SH3BP1"	2	0.009597	1
"22:38243686-38243736"	51	8	51	"EIF3L"	8	1.517e-15	1.772e-12
"22:38966360-38966438"	79	3	79	"DMC1"	2	0.05812	1
"22:41600536-41600628"	93	3	93	"L3MBTL2"	3	0.005981	0.962
"22:41864692-41864801"	110	3	110	"ACO2"	3	0.01119	1
"22:42312911-42312971"	61	3	61	"SHISA8"	2	0.01055	1
"22:48883830-48883884"	55	4	55	"FAM19A5"	4	1.922e-07	0.0001984
"22:51222077-51222127"	51	7	36	"RABL2B"	7	9.668e-15	1.127e-11
"X:14891275-14891394"	120	3	120	"MOSPD2"	3	0.003844	0.8418
"X:47695713-47695766"	54	6	54	"ZNF81"	4	1.425e-06	0.001406
"X:48057967-48058026"	60	6	60	"SSX5"	5	8.722e-08	9.123e-05
"X:48240557-48240611"	55	3	55	"SSX4"	3	5.881e-05	0.04581
"X:55021325-55021391"	67	3	67	"PFKFB1"	2	0.002891	0.7574
"X:63005440-63005554"	115	3	115	"ARHGEF9"	3	0.0007838	0.3397
"X:74376709-74376759"	51	3	51	"ABCB7"	3	5.697e-05	0.04493
"X:78425531-78425664"	134	4	134	"GPR174"	3	0.03402	1
"X:83113355-83113446"	92	3	92	"CYLC1"	3	0.005339	0.9397
"X:83114408-83114486"	79	3	79	"CYLC1"	3	0.0004488	0.2415
"X:89174679-89174750"	72	3	72	"TGIF2LX"	3	0.0004414	0.2379
"X:90689530-90689580"	51	3	51	"PABPC5"	3	0.001403	0.5075
"X:99897219-99897276"	58	13	58	"SRPX2"	13	3.17e-26	3.766e-23
"X:101188296-101188383"	88	3	88	"ZMAT1"	2	0.1093	1
"X:102583296-102583430"	135	3	135	"TCEAL7"	3	0.01924	1
"X:102984692-102984792"	101	5	101	"GLRA4"	5	1.037e-05	0.009572
"X:107981867-107981917"	51	3	51	"IRS4"	3	5.989e-05	0.04635
"X:111923346-111923421"	76	8	76	"LHFPL1"	8	1.12e-13	1.297e-10
"X:111925097-111925175"	79	3	79	"LHFPL1"	3	0.004176	0.8688
"X:122317515-122317565"	51	3	51	"GRIA3"	3	4.698e-05	0.03777
"X:128978177-128978235"	59	5	59	"ZDHHC9"	4	1.2e-06	0.001192
"X:140338436-140338515"	80	3	80	"SPANXC"	3	0.006558	0.9903
"X:141293880-141294001"	122	3	122	"MAGEC2"	3	0.001052	0.42
"X:151622771-151622854"	84	3	60	"GABRA3"	2	0.001906	0.6004
"X:152757815-152757935"	121	4	121	"BGN"	4	1.293e-05	0.01179
"X:154997359-154997427"	69	3	69	"SPRY3"	3	0.0002218	0.1417
"Y:13524694-13524744"	51	3	27	"SLC9B1P1"	3	0.0001145	0.08152
